2/12/2016
3:28 PM
Sampling Frequency:,10Hz 
0.00002,   0.5
0.00002,   0.6
0.00002,  -0.5
0.00002,  -0.4
0.00003,  -0.1
0.00002,  -0.3
0.00002,   0.4
0.00002,   1.0
0.00002,   0.6
0.00001,   1.7
0.00002,   2.1
0.00001,   1.6
0.00000,   1.0
0.00003,   1.4
0.00003,   2.0
0.00002,   1.3
0.00002,   1.2
0.00002,   2.2
0.00002,   2.8
0.00003,   2.5
0.00001,   2.9
0.00003,   1.5
0.00002,   3.4
0.00001,   2.4
0.00001,   2.4
0.00001,   2.8
0.00001,   3.0
0.00002,   2.9
0.00002,   3.0
0.00002,   2.9
0.00000,   2.4
0.00001,   2.2
0.00001,   3.6
0.00001,   2.3
0.00002,   3.1
0.00001,   2.6
0.00001,   2.9
0.00001,   1.6
0.00002,   2.9
0.00002,   3.6
0.00002,   3.6
0.00000,   2.7
0.00003,   3.5
0.00001,   3.3
0.00000,   2.2
0.00002,   2.3
0.00001,   2.7
0.00001,   2.8
0.00002,   2.6
0.00002,   2.5
0.00001,   2.6
0.00001,   2.9
0.00003,   2.8
0.00003,   2.8
0.00003,   2.9
0.00002,   2.5
0.00002,   2.5
0.00001,   3.4
0.00004,   2.8
0.00003,   3.6
0.00003,   3.7
0.00003,   2.9
0.00002,   3.4
0.00002,   3.0
0.00002,   3.8
0.00003,   3.7
0.00002,   3.4
0.00002,   4.0
0.00003,   4.5
0.00001,   4.3
0.00002,   3.9
0.00002,   4.0
0.00001,   4.6
0.00001,   4.5
0.00002,   4.9
0.00001,   3.9
0.00002,   4.6
0.00002,   4.8
0.00001,   4.4
0.00000,   3.1
0.00002,   3.1
0.00001,   3.8
0.00001,   3.7
0.00002,   4.7
0.00001,   3.7
0.00001,   4.9
0.00003,   4.4
0.00001,   4.3
0.00001,   5.0
0.00001,   4.5
0.00002,   5.2
0.00002,   3.5
0.00003,   4.2
0.00002,   4.5
0.00000,   3.3
0.00001,   3.6
0.00002,   5.5
0.00000,   4.0
0.00002,   3.9
0.00000,   3.3
0.00002,   3.4
0.00001,   3.9
0.00000,   4.6
0.00001,   4.4
0.00002,   3.0
0.00001,   3.8
0.00001,   3.3
0.00002,   3.7
0.00002,   3.0
0.00002,   3.7
0.00002,   3.7
0.00001,   4.5
0.00002,   3.9
0.00003,   3.3
0.00001,   2.7
0.00002,   3.4
0.00001,   2.6
0.00002,   3.9
0.00002,   4.2
0.00002,   3.3
0.00002,   2.6
0.00002,   3.0
0.00000,   2.7
0.00001,   2.4
0.00001,   3.1
0.00002,   2.6
0.00000,   2.7
0.00001,   2.7
0.00001,   2.4
-0.00002,   4.1
0.00001,   1.8
0.00002,   3.6
0.00001,   3.7
0.00001,   2.0
0.00001,   2.1
0.00001,   2.8
0.00002,   3.1
0.00001,   2.6
0.00000,   1.7
0.00001,   2.6
0.00002,   3.7
0.00002,   2.2
0.00001,   1.8
0.00003,   3.2
0.00001,   2.5
0.00001,   3.2
0.00000,   2.5
0.00001,   2.8
0.00001,   2.4
0.00001,   3.6
-0.00000,   2.7
0.00001,   3.4
-0.00001,   1.7
-0.00000,   1.6
-0.00000,   2.2
0.00000,   3.2
0.00000,   2.2
-0.00002,   3.0
-0.00001,   3.2
-0.00000,   1.6
-0.00001,   2.0
-0.00000,   1.7
-0.00000,   2.7
0.00000,   2.8
-0.00001,   2.9
0.00000,   3.7
0.00000,   3.5
-0.00000,   2.2
0.00000,   3.2
-0.00000,   3.2
-0.00001,   2.9
-0.00001,   2.7
0.00000,   2.7
0.00000,   2.8
0.00001,   3.3
-0.00001,   3.2
-0.00002,   4.0
-0.00003,   3.3
-0.00001,   3.4
-0.00001,   2.6
-0.00001,   2.9
-0.00000,   2.6
-0.00000,   3.4
-0.00001,   3.6
-0.00001,   3.6
-0.00001,   2.6
-0.00001,   3.8
0.00001,   3.6
-0.00000,   3.5
-0.00000,   4.9
0.00001,   3.6
-0.00001,   3.1
0.00001,   3.0
-0.00000,   3.8
0.00000,   3.4
-0.00002,   4.4
0.00001,   3.0
-0.00000,   4.2
0.00000,   3.3
0.00000,   2.9
-0.00001,   3.8
-0.00001,   3.5
-0.00001,   3.4
0.00000,   4.1
-0.00001,   3.3
-0.00001,   3.6
-0.00002,   3.5
-0.00001,   3.6
-0.00000,   5.1
0.00001,   3.7
0.00000,   4.8
-0.00001,   5.0
0.00000,   4.7
0.00000,   3.9
-0.00000,   4.5
-0.00000,   5.3
-0.00000,   4.4
0.00001,   5.3
0.00001,   6.0
0.00001,   4.5
-0.00001,   4.7
0.00001,   5.7
0.00001,   4.6
0.00000,   4.6
0.00001,   3.7
-0.00000,   3.9
0.00000,   5.2
0.00001,   3.8
-0.00001,   4.1
0.00001,   4.8
0.00000,   3.7
0.00001,   4.7
-0.00000,   4.5
0.00000,   3.6
0.00001,   3.8
-0.00000,   4.6
0.00000,   3.6
-0.00001,   4.6
0.00001,   4.4
0.00001,   5.4
0.00000,   3.6
-0.00000,   4.2
-0.00001,   3.6
-0.00000,   4.6
0.00001,   4.0
0.00001,   2.6
0.00002,   4.4
0.00000,   3.1
0.00001,   3.2
-0.00000,   3.9
-0.00001,   4.3
0.00001,   4.6
-0.00001,   4.1
0.00000,   4.2
0.00001,   4.0
-0.00000,   4.3
-0.00000,   4.2
-0.00000,   4.3
0.00001,   4.0
-0.00001,   4.0
-0.00000,   3.7
0.00001,   3.8
-0.00001,   3.6
-0.00001,   4.0
-0.00001,   3.3
0.00000,   3.6
0.00001,   3.8
0.00000,   3.3
0.00000,   3.8
-0.00001,   3.6
-0.00001,   4.3
-0.00002,   4.3
-0.00001,   4.4
0.00001,   3.7
0.00000,   3.3
-0.00001,   4.4
-0.00001,   4.4
-0.00001,   4.5
-0.00000,   4.7
-0.00001,   5.0
0.00000,   4.3
-0.00002,   3.2
-0.00000,   4.2
-0.00001,   3.6
-0.00001,   4.0
0.00000,   4.3
-0.00001,   4.0
0.00001,   4.4
-0.00002,   4.1
-0.00001,   3.3
0.00000,   3.9
-0.00000,   3.7
-0.00002,   3.2
-0.00002,   5.0
-0.00001,   3.4
-0.00001,   3.5
-0.00001,   3.7
-0.00000,   2.9
-0.00001,   4.4
-0.00002,   2.9
-0.00001,   4.2
-0.00001,   3.3
-0.00002,   2.9
-0.00002,   3.2
-0.00000,   3.5
-0.00001,   2.4
-0.00000,   3.6
-0.00000,   2.2
-0.00001,   3.4
-0.00001,   3.9
0.00000,   3.0
-0.00001,   3.6
-0.00000,   3.6
0.00001,   2.8
0.00000,   3.2
-0.00001,   3.4
0.00000,   1.9
-0.00001,   2.6
0.00000,   3.5
0.00001,   3.0
-0.00000,   3.1
-0.00000,   2.3
0.00001,   3.6
0.00001,   2.1
-0.00001,   2.6
-0.00000,   2.9
0.00000,   3.7
-0.00000,   3.0
-0.00000,   3.9
-0.00001,   2.9
-0.00001,   2.7
-0.00000,   1.8
-0.00001,   2.6
-0.00002,   3.1
0.00000,   2.6
0.00001,   2.3
0.00000,   3.4
-0.00001,   2.6
-0.00001,   2.7
-0.00000,   3.5
-0.00001,   2.5
-0.00001,   3.0
-0.00001,   2.9
-0.00001,   3.3
-0.00000,   3.5
0.00001,   3.3
0.00000,   2.5
-0.00000,   3.4
-0.00001,   2.9
0.00000,   2.5
-0.00001,   3.5
0.00001,   4.3
-0.00000,   3.7
0.00001,   2.8
-0.00001,   2.9
0.00002,   2.8
-0.00000,   2.3
0.00002,   3.0
-0.00001,   3.0
-0.00001,   3.2
0.00002,   2.6
0.00000,   2.8
0.00001,   3.5
0.00002,   3.4
0.00001,   2.7
0.00002,   2.7
0.00003,   3.0
0.00002,   2.7
0.00002,   2.8
0.00001,   2.6
0.00002,   2.8
0.00001,   2.8
0.00001,   3.3
0.00001,   3.6
0.00002,   3.4
0.00001,   2.3
-0.00000,   4.2
0.00002,   3.9
-0.00001,   3.1
0.00001,   3.6
0.00001,   3.7
0.00002,   3.9
0.00001,   4.2
-0.00000,   3.4
0.00001,   3.8
0.00001,   3.6
0.00001,   4.2
0.00002,   4.7
-0.00001,   3.7
-0.00001,   4.0
-0.00001,   4.8
-0.00001,   3.8
0.00001,   3.9
0.00002,   4.8
0.00001,   4.3
0.00001,   4.9
0.00001,   3.7
0.00000,   3.9
0.00001,   4.0
0.00001,   4.1
-0.00000,   3.2
0.00000,   3.4
0.00001,   4.4
-0.00001,   4.9
0.00001,   3.7
0.00001,   4.3
-0.00000,   4.8
0.00000,   4.1
0.00000,   3.4
0.00002,   4.5
-0.00000,   3.8
0.00000,   3.3
-0.00000,   3.8
-0.00001,   3.4
-0.00000,   3.6
-0.00000,   3.4
0.00000,   3.3
-0.00001,   4.2
-0.00001,   3.7
-0.00000,   3.3
0.00000,   2.8
-0.00001,   2.0
0.00001,   2.9
0.00002,   3.2
0.00002,   3.5
0.00001,   2.6
-0.00000,   3.5
0.00001,   3.3
0.00000,   3.0
0.00001,   3.4
0.00000,   3.1
0.00003,   2.6
0.00000,   2.0
0.00000,   3.1
0.00001,   2.8
-0.00002,   2.8
0.00000,   2.2
0.00001,   3.5
0.00000,   2.4
0.00001,   2.3
-0.00001,   2.8
-0.00000,   2.3
-0.00001,   3.1
0.00001,   2.9
0.00000,   3.4
0.00001,   2.9
0.00001,   1.9
0.00000,   2.6
0.00000,   2.4
0.00000,   3.0
0.00000,   2.9
0.00000,   3.3
0.00001,   2.4
0.00001,   2.8
0.00001,   3.5
0.00000,   2.8
-0.00001,   1.1
0.00000,   3.6
0.00000,   3.6
0.00001,   2.9
-0.00001,   2.9
-0.00001,   1.9
0.00001,   2.3
0.00000,   2.3
0.00001,   2.6
-0.00000,   3.0
0.00001,   3.7
0.00002,   3.5
0.00000,   2.8
-0.00001,   2.4
-0.00001,   2.4
0.00001,   2.0
0.00001,   3.4
0.00001,   3.7
-0.00002,   2.4
-0.00000,   2.7
0.00000,   3.1
0.00000,   2.3
0.00001,   2.5
0.00000,   3.2
-0.00002,   3.2
0.00000,   3.8
0.00000,   4.2
-0.00001,   3.7
-0.00002,   2.8
0.00001,   3.4
0.00000,   3.1
0.00000,   3.3
-0.00001,   3.0
-0.00000,   2.6
0.00001,   3.5
-0.00001,   3.3
0.00000,   2.3
-0.00001,   3.3
-0.00000,   2.9
-0.00000,   2.7
-0.00002,   3.5
0.00000,   4.2
0.00001,   2.9
-0.00000,   3.1
0.00000,   2.2
0.00000,   3.4
-0.00001,   3.1
0.00002,   2.1
0.00000,   1.7
-0.00000,   2.3
0.00002,   2.3
-0.00001,   2.8
0.00001,   1.8
-0.00000,   2.9
0.00000,   2.6
0.00001,   2.2
-0.00000,   3.2
-0.00000,   2.7
-0.00001,   2.5
-0.00000,   2.8
-0.00001,   2.2
0.00001,   1.9
-0.00000,   2.6
0.00000,   2.9
0.00000,   3.2
0.00001,   2.7
0.00001,   2.1
0.00000,   3.8
0.00000,   3.1
0.00000,   3.7
-0.00001,   2.9
-0.00001,   3.3
-0.00002,   3.8
-0.00002,   3.3
0.00000,   3.6
0.00001,   4.1
-0.00002,   2.8
0.00000,   4.2
-0.00002,   3.7
-0.00002,   3.1
0.00000,   3.1
0.00001,   2.8
-0.00001,   3.4
0.00001,   3.3
-0.00000,   3.4
-0.00000,   2.1
-0.00000,   3.3
-0.00001,   2.8
-0.00000,   3.5
0.00001,   3.8
0.00001,   4.0
0.00001,   4.1
0.00001,   3.4
-0.00002,   3.1
-0.00000,   3.0
0.00001,   2.8
-0.00001,   4.0
-0.00001,   2.3
0.00001,   3.2
0.00002,   3.3
0.00001,   2.4
-0.00000,   3.1
0.00000,   3.8
0.00001,   3.0
-0.00001,   2.7
-0.00001,   3.6
-0.00000,   2.3
-0.00000,   3.9
-0.00000,   2.4
0.00001,   3.0
0.00001,   3.2
-0.00001,   2.4
0.00001,   2.3
0.00001,   3.0
0.00000,   1.4
-0.00001,   1.7
0.00000,   2.0
0.00001,   2.6
-0.00001,   2.8
0.00000,   2.9
-0.00001,   3.1
-0.00001,   2.6
0.00000,   2.7
-0.00000,   2.8
0.00000,   2.6
-0.00001,   2.0
0.00001,   3.2
0.00001,   3.0
-0.00001,   1.8
-0.00000,   2.2
0.00001,   1.6
-0.00000,   1.5
0.00000,   1.1
-0.00000,   1.4
-0.00000,   2.8
0.00000,   1.6
-0.00000,   1.1
-0.00001,   2.1
-0.00000,   1.9
0.00000,   1.4
0.00000,   1.3
-0.00001,   2.0
0.00001,   2.5
0.00000,   2.7
-0.00000,   2.4
0.00000,   1.9
-0.00000,   1.4
0.00001,   2.6
0.00001,   1.7
0.00001,   2.1
0.00002,   2.5
0.00001,   2.2
0.00000,   2.9
0.00001,   2.2
-0.00000,   1.3
0.00000,   1.9
0.00001,   3.2
0.00001,   1.9
0.00001,   1.9
0.00000,   2.9
-0.00000,   2.5
-0.00001,   2.9
0.00001,   1.8
0.00002,   1.4
-0.00000,   2.4
-0.00000,   2.0
0.00001,   2.0
-0.00000,   2.0
0.00000,   3.0
0.00000,   1.8
0.00001,   2.8
-0.00000,   2.7
0.00001,   2.2
0.00000,   2.5
-0.00000,   1.9
-0.00000,   2.5
0.00000,   2.6
0.00001,   3.3
0.00000,   1.6
-0.00001,   2.4
-0.00000,   2.3
0.00001,   1.7
0.00000,   2.1
-0.00000,   1.8
0.00001,   2.0
0.00000,   2.8
0.00000,   3.2
-0.00001,   1.9
0.00001,   2.0
-0.00001,   3.0
-0.00004,   2.7
-0.00006,   2.5
-0.00008,   2.8
-0.00010,   1.9
-0.00012,   2.0
-0.00013,   1.7
-0.00013,   2.3
-0.00013,   2.1
-0.00014,   2.5
-0.00013,   2.0
-0.00014,   2.3
-0.00015,   1.0
-0.00014,   1.9
-0.00014,   2.5
-0.00015,   1.8
-0.00013,   1.4
-0.00013,   2.1
-0.00013,   1.6
-0.00015,   1.1
-0.00014,   1.8
-0.00014,   2.5
-0.00015,   3.0
-0.00014,   3.1
-0.00013,   2.2
-0.00013,   2.5
-0.00013,   1.9
-0.00015,   2.6
-0.00013,   2.7
-0.00015,   1.7
-0.00014,   2.3
-0.00014,   2.9
-0.00013,   2.5
-0.00014,   1.5
-0.00012,   1.4
-0.00014,   1.3
-0.00014,   1.7
-0.00013,   1.6
-0.00014,   2.2
-0.00014,   2.6
-0.00014,   1.9
-0.00016,   1.5
-0.00013,   1.3
-0.00013,   2.0
-0.00014,   2.0
-0.00014,   1.8
-0.00014,   2.8
-0.00013,   1.9
-0.00014,   1.5
-0.00014,   2.5
-0.00015,   2.3
-0.00013,   1.5
-0.00014,   2.8
-0.00013,   1.9
-0.00014,   1.8
-0.00013,   1.2
-0.00014,   2.1
-0.00013,   1.8
-0.00013,   1.8
-0.00012,   1.6
-0.00013,   1.9
-0.00014,   2.2
-0.00012,   2.5
-0.00015,   2.4
-0.00013,   2.1
-0.00014,   1.4
-0.00012,   2.0
-0.00014,   2.5
-0.00014,   1.7
-0.00015,   2.5
-0.00015,   2.3
-0.00013,   2.0
-0.00015,   2.1
-0.00013,   1.1
-0.00013,   1.3
-0.00015,   1.9
-0.00013,   2.2
-0.00015,   1.9
-0.00014,   1.8
-0.00015,   2.2
-0.00015,   1.7
-0.00015,   2.6
-0.00013,   2.8
-0.00015,   2.8
-0.00013,   1.4
-0.00013,   3.5
-0.00014,   2.7
-0.00014,   1.6
-0.00014,   2.9
-0.00015,   2.8
-0.00014,   2.9
-0.00014,   2.4
-0.00013,   2.3
-0.00015,   2.4
-0.00013,   2.4
-0.00014,   3.1
-0.00014,   2.9
-0.00015,   4.1
-0.00013,   2.6
-0.00014,   2.2
-0.00014,   3.5
-0.00015,   2.7
-0.00013,   3.2
-0.00014,   2.4
-0.00012,   2.8
-0.00013,   2.2
-0.00012,   2.5
-0.00013,   3.6
-0.00015,   2.8
-0.00013,   2.6
-0.00012,   2.7
-0.00015,   2.6
-0.00013,   2.1
-0.00015,   2.6
-0.00015,   2.4
-0.00013,   1.3
-0.00012,   1.2
-0.00013,   2.2
-0.00014,   3.2
-0.00014,   1.7
-0.00014,   2.1
-0.00013,   2.5
-0.00015,   1.6
-0.00014,   2.8
-0.00013,   3.2
-0.00014,   3.1
-0.00015,   2.4
-0.00013,   3.1
-0.00012,   2.4
-0.00015,   3.2
-0.00015,   2.6
-0.00014,   2.6
-0.00014,   2.5
-0.00013,   3.0
-0.00013,   2.2
-0.00014,   2.7
-0.00014,   2.9
-0.00015,   2.0
-0.00013,   1.9
-0.00014,   3.2
-0.00013,   2.8
-0.00014,   3.3
-0.00013,   3.3
-0.00013,   2.7
-0.00012,   2.6
-0.00012,   2.4
-0.00013,   3.1
-0.00013,   2.0
-0.00015,   2.8
-0.00015,   2.1
-0.00014,   3.1
-0.00015,   2.9
-0.00014,   2.8
-0.00013,   3.2
-0.00014,   2.6
-0.00013,   2.5
-0.00015,   2.1
-0.00013,   2.4
-0.00014,   3.0
-0.00014,   1.3
-0.00013,   3.0
-0.00016,   2.2
-0.00014,   2.5
-0.00013,   2.7
-0.00012,   3.0
-0.00013,   2.4
-0.00013,   2.7
-0.00013,   3.3
-0.00014,   2.8
-0.00013,   3.4
-0.00015,   4.2
-0.00013,   3.3
-0.00013,   2.9
-0.00013,   3.5
-0.00013,   2.5
-0.00012,   3.5
-0.00013,   2.7
-0.00029,   3.7
-0.00056,   3.2
-0.00089,   3.7
-0.00278,   2.6
-0.04661,   3.5
-0.06216,   2.6
-0.06217,   1.5
-0.06250,   2.7
-0.06310,   2.9
-0.06307,   1.6
-0.06405,   2.4
-0.06269,   2.8
-0.06169,   2.8
-0.06076,   2.8
-0.05904,   3.3
-0.05294,   2.6
-0.05507,   1.3
-0.05250,   1.7
-0.04602,   2.8
-0.04445,   2.2
-0.05204,   2.3
-0.07384,   1.4
-0.09389,   1.9
-0.08675,   1.5
-0.07033,   0.9
-0.05686,   1.1
-0.04902,   2.2
-0.07974,   1.9
-0.08897,   1.9
-0.02195,   2.7
0.02228,   1.6
0.07754,   2.2
0.11675,   2.6
0.12898,   2.1
0.11835,   2.7
0.09176,   2.4
0.07490,   1.4
0.08497,   1.7
0.08003,   2.1
0.05368,   1.6
0.04373,   3.1
0.06357,   1.6
0.06485,   1.3
0.06502,   1.9
0.06628,   1.5
0.06644,   1.7
0.07510,   1.5
0.07818,   2.0
0.07943,   2.5
0.07702,   1.8
0.07838,   1.7
0.07902,   2.2
0.07934,   2.2
0.08303,   1.9
0.10763,   1.7
0.10919,   1.9
0.12285,   2.2
0.11808,   1.5
0.11595,   2.2
0.10090,   1.9
0.02437,   2.1
-0.01826,   1.6
-0.02618,   2.3
-0.03693,   1.3
-0.04748,   1.3
-0.06763,   1.2
-0.07202,   1.1
-0.08594,   1.6
-0.08987,   2.0
-0.09714,   2.7
-0.09795,   2.9
-0.09644,   1.2
-0.09809,   2.1
-0.10969,   2.4
-0.11025,   1.1
-0.11121,   1.6
-0.12149,   1.9
-0.12551,   2.0
-0.13164,   1.2
-0.14486,   2.0
-0.15293,   1.8
-0.15307,   2.2
-0.15102,   1.2
-0.14672,   1.2
-0.14788,   2.3
-0.14408,   2.6
-0.15144,   1.0
-0.17936,   2.3
-0.17943,   2.7
-0.17397,   3.1
-0.16292,   2.1
-0.16733,   1.4
-0.17414,   2.8
-0.16780,   1.9
-0.08542,   1.5
0.03510,   2.4
0.13659,   1.5
0.15375,   2.3
0.15425,   2.8
0.14851,   1.4
0.14331,   2.2
0.14532,   1.5
0.13326,   1.6
0.12216,   1.3
0.11722,   2.5
0.10564,   3.1
0.10050,   2.4
0.09523,   1.8
0.08194,   2.6
0.07147,   3.2
0.06639,  -0.5
0.03425,  -0.6
0.02643,  -0.4
0.02610,   0.6
0.02618,  -0.5
0.02647,  -0.9
0.02635,  -0.1
0.02633,  -0.2
0.02637,  -0.8
0.02656,  -1.3
0.02643,  -0.2
0.02572,   0.3
0.02560,   0.2
0.02599,  -0.5
0.02671,  -1.3
0.02722,  -0.3
0.02727,   0.9
0.02696,  -0.7
0.02681,  -0.2
0.02641,   0.1
0.02669,   0.6
0.02668,  -0.3
0.02661,   0.4
0.02681,  -0.3
0.02678,   0.2
0.02696,   0.3
0.02785,  -1.0
0.02843,  -1.0
0.02861,  -0.9
0.02896,  -0.2
0.02882,   0.3
0.02875,  -0.5
0.02877,  -0.4
0.02881,   0.4
0.02871,  -0.5
0.02876,  -0.0
0.02884,  -0.5
0.02881,  -1.1
0.02884,   0.3
0.02883,  -1.0
0.02878,   0.1
0.02891,  -0.5
0.02906,   0.5
0.02918,  -0.8
0.02928,  -1.0
0.02925,  -1.5
0.02932,   0.5
0.02952,  -0.5
0.02971,   0.1
0.02966,  -0.0
0.02969,  -0.5
0.02971,  -1.0
0.02972,  -0.2
0.02954,   0.5
0.02944,  -0.3
0.02929,  -0.7
0.02979,  -0.7
0.03002,  -1.4
0.02963,  26.4
0.02972,   0.1
0.02966,  -1.4
0.02953,  -0.3
0.02928,  -0.8
0.02958,  -0.6
0.02963,  -1.6
0.02969,  -0.7
0.02966,  -1.7
0.02954,  -0.3
0.02957,  -1.1
0.02967,  -2.6
0.02975,  -1.5
0.02976,  -1.4
0.02973,  -1.3
0.02976,  -1.9
0.02972,  -0.3
0.02973,  -1.6
0.02974,  -1.1
0.02973,  -1.7
0.02973,  -1.2
0.02973,  -1.5
0.02974,  -1.0
0.02979,   0.0
0.02972,  -0.9
0.02968,  -0.8
0.02963,  -0.3
0.02978,  -0.2
0.02978,  -0.9
0.02968,  -0.1
0.02967,  -0.1
0.02972,  -0.9
0.02966,  -0.4
0.02965,  -0.9
0.02969,  -0.9
0.02968,  -0.6
0.02972,  -0.6
0.02970,  -1.3
0.02969,  -0.6
0.02968,  -0.5
0.02970,  -0.4
0.02968,  -1.2
0.02971,  -2.3
0.02971,  -0.7
0.02962,  -0.5
0.02964,   0.1
0.02966,  -0.6
0.02964,  -0.2
0.02968,  -0.2
0.02965,   0.4
0.02970,  -1.3
0.02965,  -0.7
0.02964,  -0.3
0.02968,  -0.5
0.02966,  -0.9
0.02965,  -0.7
0.02964,  -1.1
0.02967,  -0.8
0.02964,  -0.6
0.02965,  -1.3
0.02964,  -1.5
0.02967,  -0.2
0.02968,  -1.5
0.02967,  -0.9
0.02965,  -0.5
0.02965,  -0.5
0.02963,  -0.5
0.02963,  -0.9
0.02966,  -0.7
0.02969,  -0.8
0.02966,  -0.8
0.02966,   0.1
0.02966,   0.4
0.02966,  -0.7
0.02967,  -0.5
0.02965,  -0.6
0.02966,  -0.4
0.02966,  -0.5
0.02965,  -0.7
0.02966,  -1.5
0.02969,  -1.0
0.02966,  -0.2
0.02965,  -0.4
0.02964,   1.1
0.02967,   0.2
0.02965,  -0.1
0.02965,  -0.7
0.02964,   0.3
0.02967,  -0.2
0.02966,  -0.5
0.02964,  -0.5
0.02967,  -0.4
0.02967,  -0.8
0.02963,  -0.1
0.02967,   0.6
0.02965,   0.6
0.02964,   0.3
0.02967,  -0.4
0.02964,  -0.0
0.02962,  -0.3
0.02967,  -1.2
0.02965,   0.6
0.02967,  -0.4
0.02967,  -0.7
0.02963,  -1.6
0.02963,  -0.1
0.02966,  -0.8
0.02965,  -1.0
0.02966,  -0.3
0.02965,   0.3
0.02963,  -0.7
0.02967,  -1.6
0.02963,  -0.3
0.02964,  -0.7
0.02965,  -0.3
0.02961,  -0.3
0.02965,  -0.1
0.02969,  -0.6
0.02964,  -0.9
0.02963,   0.3
0.02968,  -0.4
0.02972,  -1.0
0.02956,  -0.3
0.02953,   0.4
0.02963,   0.4
0.02970,  -1.1
0.02973,  -0.4
0.02970,  -0.1
0.02963,  -1.0
0.02965,  -0.5
0.02967,   2.2
0.02969,  -0.8
0.02964,  -1.1
0.02970,  -0.8
0.02967,  -1.6
0.02967,   0.5
0.02970,  -0.4
0.02964,  -1.2
0.02964,  -0.3
0.02965,  -0.8
0.02968,   0.2
0.02969,  -0.4
0.02968,  -1.0
0.02967,  -1.1
0.02957,  -0.7
0.02963,  -0.2
0.02987,  -0.3
0.02966,  -0.1
0.02954,  -0.7
0.02969,  -1.4
0.02962,  -0.6
0.02968,  -1.0
0.02978,   0.2
0.02969,  -0.3
0.02954,  -0.4
0.02961,   0.5
0.02980,   0.6
0.02977,  -1.1
0.02960,  -0.1
0.02956,   0.2
0.02964,   0.4
0.02959,   1.2
0.02960,   0.5
0.02974,   0.5
0.02926,   0.1
0.02913,   0.4
0.02919,   0.4
0.02913,   1.4
0.02910,   0.7
0.02916,   1.3
0.02912,   1.5
0.02915,   1.5
0.02913,   0.6
0.02908,   1.3
0.02895,   0.4
0.02851,  -0.4
0.02842,   1.2
0.02842,  -0.5
0.02864,   0.6
0.02875,   1.1
0.02864,   0.0
0.02854,   0.1
0.02881,  -0.7
0.02869,   2.5
0.02852,   4.1
0.02753,   2.9
0.02669,   2.5
0.02596,   3.1
0.02623,   2.2
0.02702,   2.4
0.02746,   3.1
0.02709,   1.8
0.02728,   2.3
0.02758,   2.9
0.02751,   2.6
0.02741,   1.8
0.02727,   0.2
0.02714,  -0.1
0.02700,   0.0
0.02677,   0.6
0.02665,  -0.7
0.02674,  -0.3
0.02669,  -0.5
0.02677,   0.6
0.02705,  -0.9
0.02789,   1.1
0.02855,   0.6
0.02871,   0.3
0.02875,  -0.3
0.02904,   0.7
0.02976,  -0.2
0.02948,   0.5
0.02889,   1.3
0.02868,  -0.6
0.02850,   0.0
0.02802,   0.2
0.02803,   0.4
0.02808,   0.6
0.02805,  -0.4
0.02824,   1.1
0.02888,   0.1
0.02869,  -0.6
0.02870,  -0.6
0.02880,  -0.6
