2/12/2016
4:08 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Annealed
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.119000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00052, 180.2
0.00051, 182.0
0.00053, 182.9
0.00052, 184.0
0.00053, 186.0
0.00053, 186.8
0.00052, 189.2
0.00055, 190.9
0.00053, 193.3
0.00055, 194.3
0.00055, 195.8
0.00057, 197.1
0.00057, 198.6
0.00056, 200.3
0.00057, 201.8
0.00058, 203.2
0.00057, 204.7
0.00056, 207.2
0.00059, 207.7
0.00058, 209.0
0.00058, 211.4
0.00058, 211.8
0.00058, 213.0
0.00057, 214.7
0.00060, 216.3
0.00058, 219.1
0.00059, 219.4
0.00060, 221.3
0.00059, 222.7
0.00059, 224.6
0.00060, 225.3
0.00059, 227.2
0.00061, 228.3
0.00060, 230.0
0.00061, 231.7
0.00060, 233.6
0.00061, 235.0
0.00061, 236.8
0.00061, 238.0
0.00062, 240.8
0.00061, 243.2
0.00062, 244.2
0.00062, 245.9
0.00063, 247.5
0.00062, 249.7
0.00064, 250.5
0.00065, 252.7
0.00063, 254.3
0.00064, 255.8
0.00065, 257.4
0.00064, 259.9
0.00065, 262.0
0.00066, 263.1
0.00065, 266.4
0.00066, 268.0
0.00067, 269.5
0.00067, 272.4
0.00069, 274.6
0.00068, 277.5
0.00067, 278.6
0.00068, 281.0
0.00067, 283.1
0.00067, 285.5
0.00068, 287.8
0.00070, 290.6
0.00069, 292.9
0.00070, 294.9
0.00068, 297.7
0.00069, 299.2
0.00070, 301.3
0.00071, 304.2
0.00070, 305.6
0.00073, 308.1
0.00072, 310.8
0.00071, 312.4
0.00071, 315.4
0.00074, 318.0
0.00072, 319.4
0.00072, 321.6
0.00073, 324.3
0.00073, 326.0
0.00074, 327.0
0.00074, 330.7
0.00075, 332.2
0.00075, 335.6
0.00074, 336.7
0.00076, 338.0
0.00076, 341.3
0.00076, 342.1
0.00075, 345.3
0.00076, 347.2
0.00077, 349.2
0.00078, 351.3
0.00077, 353.7
0.00077, 356.5
0.00077, 357.6
0.00078, 360.1
0.00079, 362.2
0.00078, 365.3
0.00079, 366.0
0.00079, 368.7
0.00080, 370.0
0.00080, 372.7
0.00080, 374.2
0.00081, 376.3
0.00080, 378.6
0.00081, 380.2
0.00081, 383.4
0.00081, 386.2
0.00083, 388.6
0.00082, 390.8
0.00083, 392.2
0.00080, 395.4
0.00083, 399.7
0.00084, 401.0
0.00084, 402.9
0.00083, 404.4
0.00085, 407.7
0.00084, 409.5
0.00085, 412.0
0.00085, 413.3
0.00086, 417.7
0.00086, 419.5
0.00086, 422.1
0.00087, 424.2
0.00086, 426.4
0.00086, 429.6
0.00087, 431.1
0.00087, 435.8
0.00089, 437.7
0.00088, 440.5
0.00086, 443.2
0.00087, 445.1
0.00086, 448.8
0.00086, 450.8
0.00088, 453.6
0.00089, 456.0
0.00090, 459.3
0.00089, 461.9
0.00090, 465.3
0.00089, 467.8
0.00090, 470.5
0.00089, 472.7
0.00091, 476.5
0.00092, 479.4
0.00091, 482.4
0.00091, 484.1
0.00092, 487.1
0.00092, 490.2
0.00091, 492.4
0.00092, 495.3
0.00092, 499.6
0.00093, 501.1
0.00093, 505.6
0.00094, 508.0
0.00093, 511.0
0.00094, 513.0
0.00096, 516.8
0.00095, 519.4
0.00095, 522.5
0.00097, 525.0
0.00096, 527.9
0.00095, 531.2
0.00097, 534.8
0.00097, 536.2
0.00097, 540.5
0.00097, 542.5
0.00098, 546.3
0.00099, 550.1
0.00097, 551.8
0.00099, 553.9
0.00098, 557.1
0.00098, 559.1
0.00099, 563.8
0.00099, 564.5
0.00100, 567.7
0.00098, 571.7
0.00100, 574.6
0.00100, 577.6
0.00102, 580.2
0.00101, 583.2
0.00101, 585.9
0.00101, 589.7
0.00101, 592.5
0.00101, 595.8
0.00103, 599.3
0.00102, 602.7
0.00104, 606.6
0.00101, 609.5
0.00104, 613.4
0.00105, 615.6
0.00104, 619.6
0.00105, 622.9
0.00106, 627.6
0.00105, 630.1
0.00105, 633.2
0.00106, 638.1
0.00107, 641.9
0.00107, 645.6
0.00108, 649.0
0.00109, 653.6
0.00110, 656.9
0.00110, 659.8
0.00110, 661.4
0.00108, 666.8
0.00110, 668.7
0.00110, 674.0
0.00109, 678.1
0.00111, 681.2
0.00112, 686.0
0.00111, 690.2
0.00112, 693.5
0.00112, 697.1
0.00112, 701.6
0.00114, 707.0
0.00115, 710.1
0.00116, 714.6
0.00116, 717.6
0.00117, 722.2
0.00115, 725.1
0.00117, 726.0
0.00117, 732.0
0.00117, 737.1
0.00120, 741.5
0.00118, 745.4
0.00118, 751.7
0.00118, 755.3
0.00120, 759.6
0.00122, 764.2
0.00120, 769.8
0.00122, 773.8
0.00122, 778.3
0.00122, 784.6
0.00123, 788.4
0.00124, 791.5
0.00123, 795.4
0.00125, 801.0
0.00125, 806.4
0.00125, 809.4
0.00125, 814.4
0.00124, 819.9
0.00128, 824.0
0.00126, 828.9
0.00129, 831.8
0.00127, 837.7
0.00128, 842.6
0.00129, 847.6
0.00130, 853.1
0.00130, 857.9
0.00130, 862.0
0.00131, 868.0
0.00132, 872.1
0.00131, 878.2
0.00133, 883.7
0.00133, 888.6
0.00135, 893.7
0.00135, 898.2
0.00136, 903.7
0.00136, 909.6
0.00136, 914.3
0.00137, 919.3
0.00137, 925.6
0.00139, 930.5
0.00139, 935.1
0.00139, 940.8
0.00140, 946.2
0.00141, 952.0
0.00142, 957.4
0.00143, 963.2
0.00142, 969.7
0.00143, 974.7
0.00143, 980.1
0.00144, 986.8
0.00144, 990.8
0.00144, 995.4
0.00145,1001.9
0.00145,1008.5
0.00147,1012.9
0.00147,1019.3
0.00149,1025.6
0.00149,1030.7
0.00149,1036.3
0.00150,1043.5
0.00150,1048.8
0.00152,1055.1
0.00153,1060.5
0.00153,1067.7
0.00153,1072.8
0.00155,1077.9
0.00154,1084.9
0.00155,1091.1
0.00156,1096.8
0.00156,1103.1
0.00159,1109.7
0.00158,1115.4
0.00159,1122.0
0.00159,1128.2
0.00160,1134.5
0.00161,1140.4
0.00162,1146.5
0.00162,1152.4
0.00162,1158.3
0.00163,1163.9
0.00165,1169.4
0.00165,1176.4
0.00167,1182.1
0.00165,1189.4
0.00166,1194.6
0.00167,1201.0
0.00169,1207.8
0.00169,1213.7
0.00169,1220.3
0.00170,1226.1
0.00172,1234.8
0.00171,1240.2
0.00172,1246.5
0.00172,1253.6
0.00173,1259.4
0.00175,1265.3
0.00177,1272.0
0.00176,1277.8
0.00177,1284.9
0.00176,1292.2
0.00179,1298.1
0.00180,1304.9
0.00180,1310.9
0.00181,1318.5
0.00179,1324.1
0.00180,1331.8
0.00182,1338.7
0.00182,1344.8
0.00183,1351.3
0.00184,1359.6
0.00185,1365.8
0.00186,1372.2
0.00187,1379.9
0.00187,1385.5
0.00188,1393.3
0.00188,1399.7
0.00189,1406.3
0.00190,1413.5
0.00191,1418.8
0.00192,1427.0
0.00193,1434.5
0.00194,1440.9
0.00193,1447.6
0.00197,1454.8
0.00196,1461.1
0.00197,1467.7
0.00197,1474.9
0.00196,1481.3
0.00199,1488.1
0.00198,1495.7
0.00201,1502.6
0.00202,1510.3
0.00201,1517.0
0.00203,1523.5
0.00203,1530.3
0.00206,1537.4
0.00205,1544.4
0.00207,1551.5
0.00205,1558.6
0.00208,1565.8
0.00208,1573.4
0.00208,1580.4
0.00211,1586.8
0.00211,1593.3
0.00211,1601.6
0.00211,1609.0
0.00212,1614.6
0.00212,1622.3
0.00214,1629.1
0.00215,1636.0
0.00217,1642.6
0.00215,1650.8
0.00217,1657.5
0.00217,1664.6
0.00218,1671.7
0.00218,1679.4
0.00219,1687.2
0.00220,1693.1
0.00222,1701.1
0.00222,1707.6
0.00223,1715.9
0.00223,1722.5
0.00225,1729.7
0.00224,1737.6
0.00226,1743.5
0.00228,1750.4
0.00226,1758.2
0.00228,1765.4
0.00229,1772.3
0.00229,1779.8
0.00230,1787.7
0.00230,1792.5
0.00231,1800.0
0.00230,1807.0
0.00232,1816.0
0.00233,1821.9
0.00235,1829.6
0.00234,1836.4
0.00235,1844.4
0.00238,1850.2
0.00238,1859.1
0.00238,1865.6
0.00238,1873.7
0.00241,1879.5
0.00239,1886.8
0.00241,1895.2
0.00240,1901.2
0.00242,1908.8
0.00243,1916.6
0.00244,1923.4
0.00245,1931.3
0.00246,1937.7
0.00246,1945.3
0.00246,1952.9
0.00246,1959.6
0.00247,1967.8
0.00249,1975.5
0.00249,1981.8
0.00250,1990.1
0.00248,1996.8
0.00250,2001.8
0.00253,2011.1
0.00250,2019.4
0.00252,2025.3
0.00252,2031.8
0.00252,2039.9
0.00254,2046.1
0.00256,2054.2
0.00254,2060.7
0.00255,2067.6
0.00255,2076.2
0.00255,2083.2
0.00255,2090.0
0.00256,2096.6
0.00257,2104.5
0.00257,2111.5
0.00258,2116.4
0.00258,2123.7
0.00259,2131.2
0.00260,2137.7
0.00260,2144.9
0.00260,2153.3
0.00261,2159.9
0.00261,2167.0
0.00262,2173.7
0.00262,2180.0
0.00262,2186.5
0.00263,2193.9
0.00262,2200.1
0.00263,2206.9
0.00262,2213.0
0.00262,2220.5
0.00262,2226.2
0.00261,2231.4
0.00263,2238.5
0.00265,2243.7
0.00264,2249.5
0.00264,2255.1
0.00264,2262.9
0.00262,2268.4
0.00265,2274.0
0.00263,2280.9
0.00265,2286.9
0.00265,2293.4
0.00267,2298.8
0.00266,2304.1
0.00267,2311.1
0.00266,2314.3
0.00266,2321.0
0.00265,2324.8
0.00267,2329.6
0.00267,2335.2
0.00265,2338.7
0.00266,2342.7
0.00265,2346.9
0.00265,2350.6
0.00264,2354.3
0.00264,2355.3
0.00264,2355.3
0.00260,2353.2
0.00257,2349.8
0.00255,2347.3
0.00251,2347.1
0.00251,2345.3
0.00251,2344.8
0.00248,2343.7
0.00248,2344.6
0.00247,2346.6
0.00246,2346.8
0.00245,2347.6
0.00244,2347.5
0.00244,2347.9
0.00246,2349.5
0.00251,2348.4
0.00257,2349.0
0.00263,2349.2
0.00269,2347.3
0.00277,2347.1
0.00284,2346.9
0.00289,2344.6
0.00296,2345.3
0.00302,2344.1
0.00309,2341.9
0.00314,2340.1
0.00324,2337.9
0.00334,2335.3
0.00345,2333.4
0.00358,2330.1
0.00371,2328.3
0.00385,2327.1
0.00397,2326.3
0.00411,2326.8
0.00427,2326.9
0.00440,2326.2
0.00455,2325.5
0.00471,2325.0
0.00483,2322.1
0.00498,2317.1
0.00514,2316.0
0.00527,2315.7
