2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00019,  74.3
0.00020,  76.0
0.00018,  76.6
0.00017,  77.8
0.00018,  78.7
0.00018,  79.3
0.00018,  80.6
0.00020,  81.9
0.00019,  82.7
0.00018,  84.1
0.00019,  86.0
0.00020,  85.5
0.00020,  88.5
0.00019,  89.0
0.00019,  90.7
0.00020,  91.7
0.00019,  93.8
0.00018,  94.7
0.00020,  94.7
0.00020,  96.8
0.00021,  98.8
0.00020,  99.5
0.00020, 100.2
0.00020, 102.4
0.00020, 102.5
0.00022, 104.9
0.00021, 105.3
0.00022, 107.3
0.00022, 109.5
0.00022, 110.1
0.00023, 111.6
0.00022, 113.9
0.00022, 114.4
0.00022, 116.0
0.00024, 118.0
0.00023, 119.3
0.00023, 120.8
0.00021, 122.5
0.00023, 124.0
0.00024, 125.2
0.00023, 127.5
0.00025, 128.4
0.00023, 130.6
0.00024, 132.3
0.00024, 132.6
0.00025, 134.6
0.00025, 136.2
0.00024, 138.1
0.00024, 139.2
0.00024, 140.7
0.00022, 142.0
0.00024, 144.5
0.00025, 146.6
0.00026, 147.5
0.00024, 149.6
0.00027, 150.9
0.00025, 153.0
0.00024, 153.9
0.00026, 156.1
0.00027, 158.4
0.00026, 159.8
0.00028, 161.3
0.00026, 162.8
0.00029, 164.0
0.00028, 165.4
0.00027, 167.6
0.00029, 168.9
0.00028, 169.9
0.00029, 171.6
0.00028, 174.5
0.00029, 175.2
0.00029, 177.5
0.00029, 178.3
0.00027, 180.5
0.00028, 183.8
0.00030, 184.7
0.00029, 186.3
0.00030, 187.6
0.00029, 190.8
0.00030, 191.3
0.00030, 193.3
0.00030, 196.0
0.00032, 197.8
0.00030, 199.7
0.00032, 201.0
0.00031, 202.8
0.00032, 204.9
0.00031, 206.5
0.00030, 208.5
0.00032, 210.6
0.00032, 212.2
0.00033, 216.1
0.00033, 216.0
0.00036, 219.1
0.00033, 220.8
0.00033, 222.3
0.00035, 224.3
0.00035, 226.9
0.00033, 227.7
0.00035, 229.4
0.00035, 231.8
0.00036, 233.4
0.00036, 235.4
0.00036, 237.6
0.00036, 238.8
0.00035, 242.0
0.00036, 244.6
0.00036, 246.1
0.00037, 248.3
0.00036, 251.5
0.00037, 252.0
0.00038, 254.5
0.00037, 256.4
0.00038, 259.8
0.00038, 261.4
0.00040, 262.9
0.00039, 265.7
0.00040, 268.3
0.00040, 270.0
0.00040, 271.8
0.00039, 273.9
0.00039, 276.7
0.00041, 278.5
0.00039, 281.8
0.00041, 283.3
0.00040, 285.7
0.00042, 287.5
0.00041, 289.7
0.00043, 292.4
0.00043, 294.0
0.00043, 296.1
0.00042, 299.4
0.00043, 300.7
0.00043, 303.0
0.00044, 306.5
0.00043, 308.2
0.00044, 310.6
0.00044, 312.1
0.00045, 315.5
0.00046, 317.7
0.00045, 320.6
0.00045, 322.1
0.00047, 324.8
0.00047, 326.4
0.00046, 328.3
0.00046, 332.0
0.00047, 334.4
0.00048, 335.9
0.00047, 338.7
0.00048, 341.0
0.00048, 343.0
0.00049, 346.7
0.00049, 348.6
0.00050, 350.4
0.00050, 353.7
0.00051, 355.6
0.00050, 357.4
0.00053, 359.9
0.00052, 363.0
0.00050, 364.5
0.00052, 367.3
0.00051, 369.9
0.00052, 373.0
0.00052, 375.4
0.00053, 378.2
0.00053, 379.8
0.00052, 383.0
0.00054, 385.5
0.00053, 387.9
0.00054, 390.9
0.00054, 392.8
0.00054, 395.4
0.00055, 399.2
0.00055, 401.6
0.00055, 404.6
0.00056, 408.0
0.00056, 410.0
0.00056, 413.0
0.00055, 415.9
0.00057, 419.4
0.00058, 422.1
0.00059, 425.9
0.00057, 426.5
0.00059, 429.5
0.00058, 432.5
0.00059, 434.4
0.00059, 436.8
0.00060, 439.8
0.00061, 443.6
0.00061, 444.9
0.00060, 448.5
0.00061, 451.7
0.00061, 454.0
0.00062, 456.8
