2/12/2016
3:25 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.497000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
-0.00000,   0.2
0.00000,  -0.2
0.00001,   0.5
0.00001,   1.3
0.00000,   1.6
0.00002,   3.5
0.00001,   2.3
0.00002,   3.4
0.00002,   2.2
0.00004,   2.1
0.00002,   2.9
0.00004,   2.6
0.00002,   3.2
0.00002,   2.4
0.00003,   2.9
0.00003,   1.4
0.00004,   3.0
0.00004,   2.7
0.00004,   2.7
0.00003,   3.0
0.00002,   2.4
0.00003,   2.6
0.00004,   3.6
0.00004,   3.1
0.00004,   3.0
0.00004,   3.2
0.00003,   2.9
0.00004,   2.3
0.00002,   3.0
0.00002,   2.5
0.00002,   3.0
0.00003,   2.6
0.00005,   0.7
0.00004,   2.9
0.00003,   2.8
0.00004,   2.6
0.00004,   2.0
0.00004,   2.3
0.00003,   2.2
0.00004,   2.1
0.00004,   3.7
0.00003,   3.0
0.00004,   1.7
0.00004,   2.0
0.00004,   1.4
0.00002,   2.7
0.00004,   2.2
0.00004,   2.5
0.00005,   2.4
0.00005,   2.5
0.00003,   2.4
0.00003,   2.2
0.00003,   1.8
0.00004,   2.4
0.00004,   3.3
0.00004,   3.1
0.00003,   2.8
0.00003,   3.1
0.00004,   2.4
0.00002,   1.9
0.00004,   2.4
0.00003,   2.8
0.00004,   2.9
0.00003,   4.1
0.00003,   3.3
0.00002,   2.8
0.00004,   3.3
0.00002,   3.4
0.00002,   3.9
0.00003,   3.1
0.00003,   3.0
0.00003,   2.7
0.00003,   4.0
0.00003,   2.6
0.00003,   3.3
0.00002,   3.2
0.00004,   3.4
0.00003,   3.1
0.00003,   4.0
0.00005,   3.2
0.00004,   3.5
0.00003,   3.7
0.00003,   2.4
0.00002,   2.3
0.00003,   2.6
0.00003,   3.2
0.00003,   2.8
0.00001,   3.5
0.00003,   2.7
0.00001,   2.7
0.00002,   3.7
0.00002,   2.1
0.00002,   2.5
0.00003,   2.2
0.00003,   2.3
0.00002,   3.2
0.00001,   3.3
0.00001,   3.7
0.00003,   1.6
0.00003,   3.4
0.00002,   2.9
0.00003,   3.1
0.00003,   2.4
0.00002,   3.4
0.00002,   3.2
0.00001,   3.2
0.00003,   3.0
0.00002,   3.2
0.00002,   2.6
0.00003,   3.0
0.00002,   2.4
0.00003,   3.4
0.00002,   3.1
0.00003,   3.7
0.00003,   3.3
0.00002,   3.3
0.00001,   3.5
0.00002,   3.2
0.00002,   3.6
0.00002,   3.0
0.00002,   2.9
0.00003,   2.7
0.00002,   3.1
0.00003,   3.8
0.00003,   3.1
0.00004,   3.3
0.00002,   4.0
0.00004,   4.0
0.00002,   4.3
0.00004,   4.5
0.00003,   2.7
0.00003,   4.3
0.00003,   4.5
0.00004,   3.7
0.00002,   3.5
0.00003,   3.6
0.00003,   3.8
0.00002,   3.7
0.00001,   3.4
0.00004,   3.8
0.00003,   3.2
0.00003,   3.8
0.00002,   3.6
0.00001,   3.5
0.00002,   3.5
0.00003,   4.1
0.00003,   3.3
0.00003,   3.3
0.00002,   3.3
0.00002,   3.2
0.00002,   3.2
0.00002,   1.7
0.00003,   2.3
0.00002,   3.6
0.00004,   3.0
0.00003,   2.4
0.00001,   3.6
0.00003,   2.9
0.00003,   1.8
0.00004,   3.1
0.00002,   3.2
0.00004,   3.2
0.00003,   2.3
0.00003,   3.4
0.00005,   2.7
0.00003,   3.3
0.00002,   3.2
0.00003,   3.4
0.00004,   3.3
0.00002,   3.5
0.00005,   3.0
0.00003,   3.7
0.00003,   3.6
0.00004,   4.5
0.00004,   4.0
0.00005,   4.3
0.00004,   4.1
0.00004,   3.5
0.00004,   4.3
0.00003,   3.2
0.00004,   3.1
0.00002,   4.0
0.00002,   3.3
0.00004,   3.7
0.00002,   3.7
0.00003,   4.2
0.00004,   4.2
0.00004,   2.6
0.00002,   4.2
0.00003,   3.7
0.00005,   4.3
0.00004,   4.2
0.00003,   3.7
0.00003,   3.7
0.00004,   3.0
0.00004,   3.5
0.00003,   2.6
0.00003,   3.8
0.00002,   3.8
0.00002,   3.5
0.00003,   3.8
0.00003,   3.6
0.00003,   5.4
0.00003,   4.7
0.00004,   3.8
0.00002,   4.1
0.00003,   3.9
0.00004,   4.9
0.00001,   4.1
0.00002,   3.9
0.00002,   5.3
0.00004,   4.6
0.00003,   4.8
0.00004,   4.0
0.00005,   5.0
0.00003,   4.4
0.00002,   4.4
0.00003,   4.7
0.00003,   4.2
0.00003,   4.5
0.00003,   4.8
0.00005,   5.3
0.00004,   4.4
0.00004,   4.4
0.00003,   3.6
0.00004,   3.8
0.00004,   3.8
0.00004,   4.5
0.00005,   4.9
0.00005,   4.9
0.00005,   4.5
0.00005,   5.5
0.00004,   5.0
0.00004,   4.6
0.00005,   5.3
0.00003,   4.4
0.00003,   5.5
0.00004,   3.6
0.00006,   3.9
0.00004,   4.1
0.00004,   3.2
0.00005,   3.1
0.00004,   3.6
0.00002,   3.0
0.00004,   4.7
0.00004,   4.6
0.00004,   3.5
0.00003,   3.8
0.00004,   4.2
0.00004,   4.9
0.00004,   4.7
0.00005,   4.5
0.00005,   2.8
0.00004,   3.9
0.00004,   3.9
0.00003,   4.7
0.00003,   3.3
0.00003,   4.1
0.00004,   3.5
0.00005,   4.7
0.00002,   4.4
0.00003,   3.7
0.00004,   4.9
0.00003,   4.0
0.00003,   4.2
0.00004,   3.6
0.00004,   2.4
0.00003,   3.9
0.00003,   4.5
0.00003,   3.5
0.00004,   3.3
0.00002,   4.2
0.00004,   3.0
0.00003,   3.7
0.00002,   3.8
0.00003,   3.4
0.00004,   3.5
0.00004,   3.1
0.00004,   3.5
0.00004,   3.6
