2/12/2016
3:45 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,T6 Aluminum
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00008,  30.2
0.00008,  31.0
0.00009,  32.1
0.00011,  32.1
0.00010,  31.6
0.00011,  33.2
0.00009,  32.7
0.00012,  34.0
0.00011,  34.2
0.00011,  34.8
0.00011,  35.1
0.00011,  35.0
0.00011,  36.6
0.00011,  38.1
0.00011,  35.9
0.00012,  37.7
0.00012,  38.7
0.00012,  39.5
0.00012,  40.1
0.00013,  41.3
0.00013,  41.7
0.00013,  41.4
0.00012,  42.5
0.00013,  43.4
0.00013,  43.8
0.00016,  44.7
0.00014,  45.5
0.00014,  45.5
0.00016,  46.1
0.00016,  48.3
0.00016,  48.7
0.00016,  48.8
0.00014,  49.3
0.00016,  50.5
0.00017,  51.7
0.00018,  52.0
0.00016,  53.1
0.00017,  53.3
0.00017,  54.1
0.00018,  55.8
0.00018,  56.1
0.00018,  57.3
0.00020,  58.2
0.00016,  58.2
0.00019,  58.7
0.00020,  59.8
0.00021,  61.3
0.00019,  61.4
0.00022,  62.8
0.00021,  64.0
0.00021,  64.6
0.00021,  65.7
0.00022,  66.7
0.00021,  67.1
0.00022,  69.1
0.00022,  69.0
0.00023,  71.2
0.00023,  71.3
0.00022,  71.8
0.00022,  74.6
0.00025,  73.9
0.00025,  75.7
0.00026,  77.7
0.00027,  77.9
0.00024,  78.5
0.00027,  80.6
0.00028,  82.4
0.00028,  82.9
0.00027,  84.0
0.00027,  84.9
0.00030,  87.0
0.00029,  87.7
0.00030,  90.1
0.00029,  90.1
0.00032,  91.7
0.00031,  92.0
0.00030,  94.7
0.00032,  95.4
0.00033,  96.2
0.00033,  98.3
0.00032, 100.3
0.00033, 100.6
0.00034, 102.5
0.00035, 103.4
0.00035, 105.5
0.00035, 106.7
0.00034, 108.0
0.00035, 109.3
0.00036, 110.6
0.00036, 112.4
0.00036, 114.0
0.00037, 115.7
0.00039, 117.2
0.00039, 118.7
0.00040, 120.1
0.00039, 121.5
0.00039, 122.9
0.00042, 124.9
0.00041, 126.3
0.00042, 128.6
0.00043, 129.4
0.00044, 132.2
0.00043, 132.2
0.00044, 134.1
0.00043, 136.6
0.00045, 137.9
0.00047, 139.4
0.00046, 141.4
0.00047, 142.9
0.00049, 144.6
0.00046, 146.0
0.00048, 148.5
0.00048, 149.7
0.00050, 151.8
0.00049, 153.1
0.00050, 154.5
0.00050, 157.5
0.00052, 158.5
0.00051, 160.2
0.00052, 162.6
0.00054, 164.4
0.00053, 165.8
0.00054, 167.2
0.00054, 169.6
0.00056, 171.5
0.00056, 171.7
0.00057, 174.7
0.00059, 176.6
0.00058, 178.2
0.00058, 180.6
0.00060, 181.9
0.00061, 183.3
0.00060, 183.8
0.00062, 185.9
0.00063, 188.4
0.00062, 189.9
0.00064, 193.6
0.00065, 195.6
0.00066, 197.7
0.00065, 198.6
0.00066, 200.3
0.00065, 202.6
0.00068, 204.4
0.00069, 206.6
0.00069, 208.2
0.00069, 209.9
0.00070, 212.1
0.00070, 213.7
0.00070, 216.8
0.00071, 219.2
0.00072, 221.6
0.00072, 222.3
0.00073, 224.8
0.00073, 227.7
0.00075, 228.6
0.00077, 231.7
0.00076, 234.3
0.00079, 234.7
0.00079, 238.5
0.00080, 240.9
0.00079, 242.6
0.00080, 245.2
0.00081, 248.2
0.00082, 250.2
0.00082, 252.1
0.00082, 255.3
0.00084, 256.9
0.00084, 258.8
0.00085, 261.7
0.00086, 263.1
0.00087, 266.8
0.00087, 267.9
0.00090, 271.3
0.00089, 273.2
0.00091, 276.2
0.00092, 278.0
0.00091, 281.2
0.00092, 283.6
0.00095, 285.2
0.00094, 287.0
0.00097, 290.7
0.00095, 292.5
0.00097, 295.1
0.00097, 297.5
0.00098, 299.3
0.00099, 301.6
0.00100, 304.8
0.00101, 306.3
0.00101, 309.1
0.00103, 310.9
0.00103, 314.8
0.00104, 316.8
0.00108, 320.5
0.00106, 321.0
0.00109, 324.6
0.00107, 325.8
0.00108, 328.9
0.00110, 332.4
0.00112, 333.6
0.00112, 336.0
0.00112, 338.6
0.00114, 341.8
0.00114, 344.4
0.00115, 346.6
0.00115, 348.4
0.00116, 350.8
0.00117, 353.1
0.00118, 356.1
0.00119, 358.9
0.00121, 361.4
0.00120, 364.6
0.00121, 365.7
0.00123, 369.2
0.00123, 370.9
0.00123, 373.8
0.00123, 376.3
0.00125, 377.3
0.00126, 381.4
0.00127, 383.6
0.00129, 386.4
0.00130, 388.5
0.00131, 390.5
0.00130, 394.5
0.00131, 395.9
0.00133, 399.1
0.00132, 403.0
0.00136, 406.4
0.00136, 409.0
0.00137, 410.8
0.00136, 412.7
0.00138, 415.9
0.00140, 419.4
0.00141, 423.4
0.00141, 427.0
0.00142, 428.4
0.00143, 432.3
0.00144, 435.2
0.00144, 436.9
0.00147, 440.2
0.00148, 443.1
0.00148, 445.5
0.00149, 447.7
0.00151, 451.1
0.00151, 453.7
0.00153, 457.5
0.00153, 458.6
0.00154, 462.3
0.00155, 464.9
0.00156, 468.0
0.00158, 470.6
0.00159, 474.1
0.00159, 477.0
0.00160, 480.0
0.00161, 482.9
0.00162, 486.0
0.00163, 490.1
0.00164, 492.2
0.00165, 495.3
0.00164, 499.0
0.00169, 502.2
0.00169, 506.2
0.00170, 508.3
0.00172, 512.5
0.00173, 514.6
0.00174, 518.4
0.00176, 521.7
0.00177, 525.4
0.00177, 527.5
0.00179, 531.6
0.00179, 535.8
0.00180, 538.9
0.00182, 541.9
0.00183, 544.9
0.00182, 548.7
0.00185, 551.9
0.00186, 554.7
0.00187, 558.8
0.00189, 561.9
0.00188, 565.3
0.00189, 569.3
0.00191, 573.1
0.00194, 576.5
0.00194, 580.2
0.00195, 584.0
0.00197, 587.2
0.00197, 592.2
0.00197, 595.1
0.00201, 599.6
0.00201, 604.2
0.00204, 607.7
0.00205, 611.0
0.00206, 614.7
0.00207, 618.8
0.00209, 622.2
0.00210, 625.2
0.00211, 629.5
0.00213, 632.6
0.00214, 636.5
0.00215, 640.1
0.00216, 644.3
0.00218, 646.7
0.00217, 651.2
0.00218, 654.3
0.00220, 658.5
0.00223, 660.8
0.00224, 664.7
0.00224, 668.2
0.00226, 672.7
0.00226, 674.7
0.00227, 678.9
0.00228, 681.5
0.00230, 685.5
0.00230, 688.8
0.00233, 692.6
0.00233, 696.7
0.00234, 699.3
0.00235, 702.5
0.00234, 706.0
0.00238, 706.6
0.00238, 710.5
0.00238, 714.4
0.00239, 718.6
0.00241, 722.0
0.00242, 725.1
0.00244, 729.2
0.00245, 732.6
0.00247, 737.5
0.00247, 740.2
0.00249, 743.9
0.00250, 748.3
0.00252, 752.0
0.00252, 755.6
0.00253, 760.5
0.00255, 763.2
0.00255, 767.5
0.00258, 771.3
0.00260, 774.4
0.00260, 779.3
0.00262, 783.5
0.00263, 787.9
0.00263, 790.8
0.00265, 794.5
0.00266, 798.2
0.00269, 802.5
0.00270, 807.0
0.00271, 810.2
0.00271, 815.3
0.00273, 818.0
0.00275, 822.5
0.00277, 826.3
0.00279, 830.0
0.00277, 834.3
0.00278, 837.3
0.00280, 842.2
0.00282, 846.3
0.00283, 850.6
0.00285, 853.5
0.00285, 857.2
0.00288, 862.5
0.00288, 866.4
0.00290, 869.5
0.00291, 874.2
0.00293, 878.6
0.00294, 881.6
0.00296, 885.9
0.00297, 889.6
0.00300, 894.5
0.00300, 898.2
0.00302, 902.8
0.00301, 906.5
0.00304, 911.5
0.00307, 916.0
0.00307, 919.7
0.00308, 923.6
0.00310, 927.8
0.00311, 931.3
0.00312, 936.0
0.00314, 940.0
0.00316, 943.9
0.00316, 948.0
0.00319, 951.9
0.00320, 956.0
0.00320, 960.7
0.00323, 965.1
0.00325, 968.2
0.00326, 972.0
0.00327, 977.2
0.00329, 982.2
0.00332, 986.0
0.00332, 990.5
0.00332, 993.6
0.00334, 999.6
0.00336,1002.8
0.00338,1007.5
0.00338,1012.8
0.00340,1016.0
0.00342,1019.7
0.00344,1024.6
0.00344,1029.3
0.00346,1033.3
0.00347,1037.1
0.00349,1042.3
0.00349,1046.6
0.00352,1050.7
0.00353,1054.5
0.00355,1059.4
0.00356,1062.9
0.00356,1067.9
0.00360,1074.2
0.00362,1079.3
0.00364,1083.7
0.00365,1089.6
0.00368,1095.5
0.00369,1100.8
0.00370,1106.2
0.00372,1111.1
0.00374,1117.4
0.00376,1123.0
0.00379,1129.0
0.00381,1133.9
0.00381,1138.7
0.00384,1145.6
